"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"301","PABPC1",1.10150059209035,17.7893998328091,9.24132028618078,1.09198887570682e-10,1.55115046320282e-09,13.8392467008039
"501","CKAP5",2.90646820903752,15.1786602803599,9.21990369537256,1.15478172179848e-10,1.63052413173702e-09,13.7944194712465
"187","LDHB",1.04727691033839,20.6358575248382,9.12883165350114,1.46570180680108e-10,2.05721717883151e-09,13.546923160323
"1529","HSPA12A",-0.811838054552312,17.8629565667404,-9.07131491653853,1.70483292198647e-10,2.37869587576574e-09,13.4310922176548
"2085","PZP",1.25268358741274,13.7585588630207,9.04619620380895,1.82139890391331e-10,2.51161322539625e-09,13.4183478160996
"50","FN1",1.19153133611744,18.9322489267448,9.06589269469409,1.72933495822179e-10,2.3986893126394e-09,13.3493405127313
"1711","RELA",1.97929976553279,12.9198457431323,9.02643130833295,1.91880679174436e-10,2.63055024124023e-09,13.3368117314837
"2187","SLC16A3",-1.38208788242415,15.116623873285,-9.00705777373082,2.01943916784064e-10,2.75250725882557e-09,13.2460483507709
"2169","ARFGEF2",2.22767303805099,12.9258340768406,8.97301319041647,2.20949288310618e-10,2.99424380365768e-09,13.2319302272008
"1011","APRT",1.57636439060233,17.6998987062807,8.95557940895968,2.31377382190896e-10,3.11764495546362e-09,13.0769266155432
"1297","FBN1",-1.82087135715213,14.6470647936019,-8.91465946736128,2.57868142155195e-10,3.45484704092017e-09,13.0174333601385
"598","FKBP9",-1.08116712015815,17.6844181515494,-8.88984249905846,2.7541933692649e-10,3.66914574278342e-09,12.8997082451856
"757","EIF3I",-0.755612939393391,17.0057159881908,-8.87076210547495,2.89737265335285e-10,3.83820489696968e-09,12.8743338293292
"606","COPS4",-1.15770740980814,15.8466787200894,-8.86026581004342,2.97934578816037e-10,3.92474713323026e-09,12.8422730787805
"412","NUCB2",-1.2259265473506,17.1771158762103,-8.85350558563121,3.03338784568564e-10,3.97373807784819e-09,12.7836908479668
"2813","DOCK6",1.82104308841744,13.6404592843042,8.7648678370127,3.84173476650326e-10,4.95016971552715e-09,12.6177235577632
"1462","RETSAT",1.3289311024154,14.6336002813946,8.77072227132808,3.78213706770324e-10,4.90015340969463e-09,12.6030236597645
"1102","SET",-1.22477521288506,15.4041792159359,-8.77308695740093,3.75833238054697e-10,4.89621422835898e-09,12.6021902696667
"1859","PRKG1",-1.24385029748643,14.8402428641624,-8.75842943184771,3.90838196064051e-10,5.00867644738604e-09,12.5611839702021
"568","BZW1",-1.3036598569875,16.4568441224012,-8.73979927110489,4.10794001090716e-10,5.23595813282113e-09,12.5292946595447
"2989","MRPL17",-2.9374871538665,15.3100995805357,-8.7048482113948,4.51075898071069e-10,5.68789822273573e-09,12.427778484091
"385","NONO",-1.00008413934971,17.5832197766272,-8.71302795251486,4.41301878970499e-10,5.59456898178729e-09,12.4121323871825
"1516","NAA15",-1.09073032115866,15.3485955274962,-8.67288198863096,4.91433894880626e-10,6.13122287898686e-09,12.3197493079363
"1020","VAMP2",0.8037488106604,18.4410173240865,8.67407495854319,4.89863654669304e-10,6.13122287898686e-09,12.3062254633368
"109","KPNB1",0.785657594315396,19.1205427187648,8.66068444774628,5.07785825407499e-10,6.30188934900465e-09,12.2845140162219
"116","NCL",-0.963851183220118,18.4473273926529,-8.65181182645241,5.20027406522139e-10,6.42002421245656e-09,12.2592892152254
"674","SEC24D",0.937851497510921,17.0599266215443,8.63244777483867,5.47797748845848e-10,6.72764110301307e-09,12.1961693477823
"1578","USP15",1.53837447867537,14.8649830439871,8.60198448420363,5.94575227683238e-10,7.26429215998485e-09,12.1262963621733
"327","PPIB",0.58318843868312,20.4277723700684,8.56489778591375,6.5705208027159e-10,7.98623095505366e-09,12.0247809725058
"425","RPL9",-0.725805036787731,18.4351841038815,-8.50111747602139,7.80552821129996e-10,9.43868488320271e-09,11.8485368942872
"340","DPP4",2.3886026764741,16.2665120867604,8.45684056169465,8.79958106242993e-10,1.05864347679642e-08,11.7307496616024
"442","CAPZA1",-0.591936797119265,18.011327387791,-8.41463715184618,9.86695866203985e-10,1.18102987437005e-08,11.6048339895677
"842","BAG2",-1.94971628069639,14.95082533091,-8.40550771855138,1.01146711322978e-09,1.20456538030092e-08,11.5939876496863
"620","PCMT1",-0.732737576368631,17.5862190243878,-8.38873542636411,1.05863688158214e-09,1.25440490792497e-08,11.551204995058
"2565","VPS41",2.94561119280377,15.8763355490007,8.36207696842891,1.13826052408717e-09,1.34200915789877e-08,11.4898843820805
"695","GOT2",1.72389833529036,16.456161009432,8.35576365404165,1.15799302610817e-09,1.35848137092689e-08,11.4525096115982
"919","NUP155",-1.41132583278938,14.8075871155537,-8.33956385670505,1.2102328086002e-09,1.41273711023726e-08,11.4195855957976
"1160","COPS2",1.37205100567569,15.613615893995,8.31904110205421,1.27987023476108e-09,1.47937941841501e-08,11.4027338870006
"822","ARPC1B",0.839243787355843,17.5834662989075,8.32733066030919,1.25126455946046e-09,1.45343932571811e-08,11.3796503546288
"1414","PPP2R5D",0.891157204609055,15.9710533253423,8.31106054681313,1.30803781991384e-09,1.4972588249305e-08,11.3498589055549
"1304","VPS4B",-0.919396429069017,16.0876888236737,-8.31701133436541,1.28697534802419e-09,1.48033554665417e-08,11.3482568666758
"1369","DYNLRB1",-0.807490665479029,17.2460407915268,-8.2885799317052,1.39082007419193e-09,1.58432547581863e-08,11.2575643800583
"1278","HM13",1.13361502324219,16.2472797430253,8.26745314490197,1.47347034494835e-09,1.67040532374433e-08,11.2019004034493
"458","UQCRC2",-0.773117413250818,18.0282126604288,-8.25919287786131,1.50712784250446e-09,1.70038634096914e-08,11.1990103208851
"655","SFXN1",-2.25515552903884,17.1282938233331,-8.24692171220546,1.55857711687474e-09,1.74176532776808e-08,11.1640999550473
"3081","MECP2",-0.821186321494073,15.6083845172516,-8.23973970807262,1.58951374997675e-09,1.76795916153074e-08,11.1580675477952
"467","NME2",-0.928275667345523,18.2399143881924,-8.25135436405153,1.53978950130157e-09,1.72896364003291e-08,11.1496598972735
"43","GANAB",0.580890578880313,19.8233426124721,8.22738295900026,1.64420911482033e-09,1.82020896373068e-08,11.0898812893124
"268","USP5",-0.889863485063592,17.5698856700309,-8.17482826248556,1.89905715669638e-09,2.09251251191125e-08,10.9404186530659
"1926","DYNLL1",1.05161277154989,14.5231229545061,8.16389860244753,1.95691194307087e-09,2.14623179616795e-08,10.9360939825137
"1111","ARMCX3",-1.49854191458825,17.1804300531893,-8.15988736779273,1.97859147661636e-09,2.15996236197286e-08,10.9264368434911
